Brand,Country,Year,Monthly_Production_Tonnes,Avg_Item_Price_USD,Release_Cycles_Per_Year,Carbon_Emissions_tCO2e,Water_Usage_Million_Litres,Landfill_Waste_Tonnes,Avg_Worker_Wage_USD,Working_Hours_Per_Week,Child_Labor_Incidents,Return_Rate_Percent,Avg_Spend_Per_Customer_USD,Shopping_Frequency_Per_Year,Instagram_Mentions_Thousands,TikTok_Mentions_Thousands,Sentiment_Score,Social_Sentiment_Label,GDP_Contribution_Million_USD,Env_Cost_Index,Sustainability_Score,Transparency_Index,Compliance_Score,Ethical_Rating
Shein,India,2022,366.76,15.55,27,14091.5,224.14,612.62,144.08,66,2,30.66,66.57,7,9577,6935,0.43,Neutral,872.2,0.6,24.56,66.83,88.48,1.55
Forever 21,Brazil,2016,417.66,25.23,10,10008.01,156.55,794.49,126.3,60,1,22.14,122.4,14,1527,6135,-0.93,Negative,450.5,0.31,70.48,77.29,56.95,1.35
Zara,Bangladesh,2016,373.91,19.01,9,16591.63,308.87,710.42,256.47,49,1,10.18,109.77,19,8897,6070,-0.47,Neutral,769.06,0.59,8.36,97.21,41.1,1.58
Zara,UK,2020,388.92,20.21,18,8409.46,137.62,960.25,211.26,69,1,27.9,150.63,13,8569,7319,0.03,Negative,668.83,0.17,24.41,58.32,74.04,0.48
Forever 21,Bangladesh,2018,311.86,15.29,29,8929.51,162.77,1020.01,150.8,43,1,39.85,111.46,19,7972,7429,0.24,Neutral,729.83,0.81,81.03,99.24,8.78,2.47
H&M,Turkey,2018,710.2,20.49,27,8462.3,227.43,1054.46,192.11,44,1,10.98,153.91,8,1717,6130,-0.62,Positive,314.81,0.98,69.51,68.67,28.62,4.43
Shein,Turkey,2019,585.22,15.7,23,3961.97,127.8,753.28,139.72,63,0,35.27,117.01,3,8405,6211,0.41,Neutral,460.78,0.8,83.06,26.84,68.7,0.67
Forever 21,Vietnam,2015,863.78,21.15,17,10453.92,264.84,915.7,140.11,42,0,36.05,85.02,5,3218,6799,-0.36,Neutral,684.63,0.46,69.07,3.84,88.98,3.3
H&M,India,2023,633.46,13.68,12,13773.58,239.67,998.47,93.51,61,1,22.86,171.82,18,5185,7486,-1.0,Neutral,97.73,0.69,4.25,21.04,72.24,3.33
Forever 21,India,2022,532.09,17.15,25,7054.99,186.4,274.36,73.35,69,0,14.89,140.51,5,2696,1359,-0.7,Neutral,533.46,0.36,39.75,74.43,95.55,4.59
Shein,Brazil,2021,105.78,11.82,7,7761.98,165.27,1291.42,167.59,44,1,23.26,116.1,9,8907,899,-0.37,Negative,401.42,0.2,53.15,91.63,90.86,1.25
Forever 21,Brazil,2020,499.76,14.47,14,12248.54,63.14,782.39,198.44,45,3,17.72,100.73,12,2637,6595,-0.56,Positive,622.39,0.56,64.33,87.49,21.15,1.55
H&M,China,2020,291.23,17.62,10,10218.42,205.47,867.3,132.48,60,0,12.88,134.64,5,5210,2675,0.09,Negative,578.93,0.94,61.79,21.4,72.51,1.5
H&M,Indonesia,2023,393.37,12.53,22,10027.76,185.8,728.53,142.34,64,2,39.12,184.42,7,750,2894,0.82,Positive,483.21,0.91,82.8,23.03,72.59,2.95
Forever 21,India,2023,546.22,12.4,10,9701.24,184.84,635.87,139.7,54,2,16.38,189.79,3,4127,7932,0.3,Negative,332.64,0.25,25.34,75.02,56.62,2.93
Uniqlo,Turkey,2015,582.22,13.84,10,10996.07,232.42,1160.68,189.75,45,0,30.35,176.51,7,1922,4161,0.97,Negative,520.58,0.63,3.4,39.61,93.73,1.44
Uniqlo,UK,2017,593.1,33.68,13,8294.14,204.21,871.83,146.64,46,0,14.35,110.63,18,4158,4485,-0.46,Neutral,376.14,0.66,74.53,75.19,0.86,3.26
Uniqlo,USA,2016,546.34,31.44,9,3483.13,258.98,824.03,114.89,67,1,17.91,70.91,3,8282,1050,0.73,Neutral,319.9,0.95,12.58,4.1,10.57,3.0
Forever 21,India,2018,788.01,23.15,14,13029.63,224.35,865.34,162.67,53,0,12.03,137.71,6,6392,7602,0.94,Neutral,214.04,0.18,24.67,67.56,80.61,1.73
H&M,India,2017,647.84,20.19,18,11549.76,267.78,1122.93,178.83,46,0,39.36,154.06,9,7561,3536,0.3,Negative,416.91,0.92,11.45,58.93,8.49,4.06
Shein,Vietnam,2017,535.21,23.73,11,6751.01,127.05,923.88,122.34,42,1,12.35,143.4,12,3034,4683,-0.11,Neutral,-96.43,0.63,65.91,64.82,26.09,4.05
Forever 21,Germany,2015,463.49,22.76,12,8080.98,194.74,739.03,263.24,67,1,37.44,133.81,11,6406,7331,0.95,Negative,427.78,0.31,13.3,85.71,11.78,0.49
Uniqlo,UK,2024,664.22,12.86,10,2889.79,164.6,797.93,113.24,42,4,25.89,88.13,14,3555,1741,0.99,Positive,583.32,0.91,52.08,67.79,53.19,2.17
Uniqlo,Turkey,2023,257.37,27.29,28,10837.36,194.74,844.92,200.0,52,2,32.78,149.87,19,3136,4842,-0.72,Negative,378.58,0.45,63.08,59.05,78.06,0.23
Forever 21,Brazil,2016,654.98,24.46,7,11635.26,152.3,1118.6,150.36,63,0,28.0,120.99,19,2686,2169,-0.9,Negative,720.66,0.62,95.89,1.46,24.03,1.58
Uniqlo,India,2015,388.75,25.58,22,11931.86,195.82,492.09,147.23,52,1,27.59,109.54,9,802,1748,-0.9,Neutral,657.11,0.45,83.99,13.31,73.59,2.68
Forever 21,Indonesia,2022,541.82,22.42,14,15082.98,149.88,828.82,87.51,62,0,32.88,115.13,6,8632,470,0.79,Neutral,78.87,0.45,84.38,51.25,86.22,3.31
Forever 21,USA,2016,203.34,20.46,24,8373.46,226.44,1148.55,137.36,44,2,19.14,153.92,16,765,5468,0.08,Neutral,846.88,0.93,59.27,84.97,84.09,4.6
H&M,Indonesia,2022,520.33,16.5,17,6864.06,126.61,899.42,165.29,64,2,30.16,144.97,4,5936,4231,0.58,Negative,601.13,0.96,35.58,43.78,67.13,4.84
Forever 21,Indonesia,2019,547.54,23.71,7,7677.98,176.63,715.11,147.18,42,2,29.92,129.01,19,2520,4342,-0.35,Neutral,355.6,0.62,42.41,55.86,14.71,1.98
Uniqlo,UK,2021,709.33,16.29,25,7138.96,209.67,831.42,217.49,67,1,15.34,143.34,10,3205,6940,0.53,Positive,649.04,0.68,30.68,93.6,21.11,4.25
Shein,Brazil,2019,393.69,21.83,22,13342.53,146.84,1215.65,238.25,48,4,35.02,118.05,18,1433,5808,0.95,Negative,204.51,0.87,55.79,36.37,48.25,4.21
Zara,Germany,2019,522.18,20.76,19,4142.61,185.69,615.47,89.6,67,1,20.04,129.16,14,5977,2547,0.79,Neutral,425.71,0.49,69.14,97.94,24.07,4.1
H&M,Indonesia,2016,407.38,11.42,22,11030.32,312.71,1092.83,95.91,52,2,18.79,115.95,10,4629,3969,0.82,Negative,611.89,0.55,34.95,81.9,2.63,1.01
H&M,UK,2018,571.72,16.53,25,5310.43,268.69,741.8,153.95,56,1,10.99,99.81,6,9923,5764,0.94,Neutral,684.16,0.99,41.06,14.88,91.06,3.97
Uniqlo,India,2016,158.03,20.95,22,8633.35,157.12,450.97,83.81,46,0,10.09,73.07,15,6040,7792,-0.59,Positive,572.91,0.35,1.3,94.34,44.54,2.41
Zara,USA,2019,404.79,28.91,12,14086.32,180.78,944.42,57.65,41,0,35.35,157.15,7,9281,4605,0.89,Negative,475.0,0.7,59.55,35.24,93.72,1.69
Forever 21,UK,2016,450.75,25.76,7,8787.62,207.4,1039.48,126.47,45,0,29.57,110.27,11,4140,1826,0.67,Negative,330.98,0.54,40.67,61.48,65.77,3.75
H&M,China,2021,678.22,24.07,22,4418.58,149.18,1049.83,87.13,45,4,11.69,68.99,3,4396,4387,0.55,Neutral,590.63,0.55,47.47,30.2,53.99,1.24
Shein,Vietnam,2021,630.66,15.95,10,4609.55,245.4,983.99,147.5,54,2,18.97,129.66,11,1460,6355,0.6,Neutral,313.22,0.54,92.42,16.91,99.17,3.58
H&M,Indonesia,2024,512.62,15.38,7,9053.82,152.22,1005.13,125.45,53,1,21.53,111.54,7,5942,4852,-0.71,Negative,343.51,0.12,98.14,29.97,27.89,4.87
Shein,Germany,2024,589.05,27.94,10,11826.1,169.63,855.91,151.54,56,0,12.12,173.29,9,1938,4909,0.04,Positive,232.73,0.38,98.65,6.97,56.95,1.3
Forever 21,UK,2020,673.41,19.7,18,11836.16,177.92,913.86,173.3,50,1,23.44,121.14,14,4822,4417,-0.84,Neutral,550.29,0.47,48.67,76.56,89.2,1.69
H&M,India,2021,823.47,22.03,10,4897.5,185.56,839.69,119.62,60,1,36.1,123.23,12,7804,5939,0.99,Neutral,504.13,0.39,52.65,11.56,55.64,2.68
Shein,USA,2022,312.78,15.53,11,12020.2,299.27,576.3,192.29,54,2,35.07,119.16,12,6948,775,0.76,Neutral,367.65,0.29,16.07,87.54,36.13,2.17
Forever 21,China,2020,442.54,12.84,27,8341.62,183.2,1024.38,240.94,69,1,38.03,81.03,11,3542,4208,-0.46,Positive,517.45,0.76,60.08,71.81,47.17,3.77
Uniqlo,Bangladesh,2017,371.84,19.8,6,14327.97,257.36,1042.68,214.14,69,1,24.99,115.63,17,311,1324,0.46,Neutral,453.11,0.16,78.68,43.22,47.53,2.1
Zara,Germany,2020,563.86,24.22,26,14939.65,96.2,606.06,183.68,52,0,19.22,69.45,5,6653,3513,-0.2,Positive,300.37,0.31,82.85,24.84,5.47,2.82
Uniqlo,China,2018,673.13,15.04,22,13323.98,218.37,848.62,52.0,57,2,23.16,175.17,19,9632,1636,-0.15,Positive,578.09,0.29,94.72,0.35,89.15,3.68
H&M,UK,2017,483.61,13.56,11,11718.65,179.74,1281.37,53.53,67,2,19.42,150.4,5,603,677,-0.56,Positive,531.6,0.81,49.49,37.3,18.54,4.33
Zara,China,2015,506.4,24.61,20,13790.25,68.17,733.47,131.68,62,1,29.45,57.27,9,2258,3763,0.56,Neutral,519.98,0.84,54.15,15.71,26.35,4.78
H&M,Turkey,2021,250.82,21.75,19,12058.94,186.41,585.36,58.07,53,2,21.77,109.87,19,2511,358,-0.95,Neutral,211.22,0.22,85.74,75.59,79.89,1.38
Forever 21,Brazil,2024,152.01,17.26,13,7272.65,179.08,607.22,59.02,49,0,29.65,121.97,7,8054,1302,-0.19,Negative,490.73,0.75,20.62,69.71,1.41,0.63
Uniqlo,China,2022,466.34,19.83,21,14559.07,210.59,957.58,100.26,48,2,26.21,67.79,6,6592,4510,-0.33,Positive,325.81,0.47,49.51,25.4,90.68,1.43
Zara,Bangladesh,2019,472.93,25.76,28,10337.96,141.08,819.39,163.44,62,1,27.34,118.47,9,4489,2397,0.47,Negative,806.74,0.95,33.19,36.63,8.35,3.21
H&M,India,2015,416.93,20.32,16,11282.75,182.28,652.72,128.85,51,1,29.66,74.01,13,3021,7476,0.16,Neutral,776.68,0.17,3.14,10.78,59.15,0.31
Uniqlo,Germany,2015,786.79,24.27,7,12017.65,160.73,719.39,136.26,65,1,26.63,156.44,14,7941,2682,0.04,Positive,831.08,0.13,47.58,86.21,97.66,4.28
Zara,India,2016,451.82,18.47,22,10305.72,167.19,1216.27,139.73,52,0,27.86,117.04,6,1205,4485,0.78,Positive,561.49,0.47,0.6,78.97,88.09,0.87
Zara,India,2015,713.84,19.31,19,7114.06,263.54,663.11,116.72,53,0,27.39,109.34,5,1224,944,0.2,Negative,592.96,0.55,16.75,4.79,68.35,0.61
Shein,India,2021,486.85,16.66,10,11402.69,220.2,678.87,173.25,65,2,28.48,141.05,3,9441,6412,0.12,Neutral,497.56,0.92,56.78,51.01,75.01,0.74
Zara,Vietnam,2024,524.66,24.29,10,15153.84,119.54,582.75,135.62,56,0,21.47,81.27,8,2149,3835,-0.74,Positive,533.61,0.82,75.91,10.43,66.78,3.05
Forever 21,Bangladesh,2021,467.22,29.12,25,6529.49,288.31,710.32,81.04,59,1,34.96,114.78,9,5883,5477,-0.88,Negative,698.99,0.72,78.23,39.74,17.46,0.14
Shein,Brazil,2017,296.75,24.03,9,4631.97,156.72,1000.26,140.17,44,0,34.43,150.02,6,2279,226,0.71,Negative,648.64,0.9,83.19,4.34,82.09,4.5
H&M,India,2020,482.14,16.85,7,5582.71,170.9,1337.63,164.02,58,1,22.5,109.83,11,2004,3716,-0.47,Positive,177.23,0.89,99.56,28.99,98.46,1.6
Uniqlo,India,2022,343.16,23.91,17,8745.69,208.97,1166.02,143.53,50,0,28.11,119.52,11,1053,2947,0.61,Positive,827.13,0.48,25.23,2.07,49.61,3.42
Forever 21,Turkey,2019,524.57,13.18,12,12264.81,225.62,919.16,135.8,46,0,16.74,102.03,14,7911,4804,-0.1,Neutral,661.72,0.34,33.97,90.76,33.48,3.93
Zara,India,2022,276.35,25.77,6,8169.88,204.46,616.41,235.17,61,0,14.72,135.37,11,5221,5772,0.87,Negative,592.73,0.66,79.66,0.33,45.03,4.35
Forever 21,Bangladesh,2022,686.84,15.55,28,7987.17,256.42,939.43,96.7,49,2,31.84,119.32,9,881,1475,-0.77,Neutral,679.19,0.8,57.82,58.55,77.95,1.11
Shein,Turkey,2019,203.82,21.7,12,9144.9,114.54,982.47,211.02,56,1,37.12,164.78,8,7724,1829,0.81,Negative,193.83,0.27,92.07,14.02,73.57,4.8
Zara,USA,2019,468.68,14.33,24,9625.27,201.2,536.03,202.07,58,0,26.3,144.54,5,1492,297,-0.04,Negative,480.13,0.66,36.01,85.25,56.2,3.31
Uniqlo,Turkey,2023,307.21,27.04,9,10768.16,281.24,770.0,5.56,40,0,27.83,160.52,6,7171,4726,-0.54,Positive,690.17,0.85,10.5,36.06,69.55,4.49
Shein,Turkey,2020,657.55,11.87,12,11177.77,115.78,361.43,154.07,60,0,34.38,158.53,14,2802,3956,0.77,Neutral,672.66,0.55,41.49,91.58,61.12,1.47
Zara,Indonesia,2019,525.45,20.11,29,10286.99,184.43,1014.97,90.07,58,0,23.16,119.8,13,1483,3145,-0.83,Neutral,1003.54,0.4,76.26,77.7,72.58,0.2
Zara,China,2017,565.52,25.19,13,8976.42,224.16,1277.44,133.88,69,2,35.74,156.15,16,4758,5212,0.62,Positive,479.36,0.61,88.84,51.42,22.47,0.65
Forever 21,Germany,2021,658.11,7.68,11,10948.54,188.04,1112.79,203.78,40,1,16.48,107.05,13,5174,2374,-0.18,Positive,689.26,0.65,86.76,71.47,25.28,4.92
Shein,UK,2019,503.09,31.19,21,5402.86,226.26,544.84,242.98,44,0,34.26,170.71,18,6272,3667,-0.85,Neutral,315.7,0.95,29.37,7.18,16.95,0.48
Shein,Brazil,2018,451.87,13.81,13,8593.47,100.05,760.96,170.49,58,1,29.07,93.38,18,2882,6909,0.65,Negative,389.28,0.77,98.08,53.41,8.92,1.84
Uniqlo,Vietnam,2023,448.64,25.62,29,5649.86,171.06,538.51,115.06,43,0,10.42,102.23,17,5277,929,0.81,Negative,465.99,0.47,83.68,2.93,77.77,0.31
Uniqlo,Germany,2022,587.15,22.59,16,11613.47,159.07,630.83,150.04,55,1,27.45,147.69,15,1754,2309,-0.75,Positive,687.41,0.13,29.75,94.03,95.86,4.06
Zara,Indonesia,2024,359.46,18.04,17,9752.59,276.15,674.5,85.6,54,1,16.75,138.03,11,1244,148,-0.62,Positive,459.28,0.6,92.9,56.63,16.48,4.99
Forever 21,India,2024,197.15,19.94,26,9137.16,278.57,438.19,186.57,57,3,38.3,59.75,15,707,6471,0.05,Positive,536.92,0.97,60.59,83.05,51.45,1.25
H&M,China,2022,572.63,21.11,29,10501.57,127.67,1128.09,184.9,50,0,16.9,144.16,6,9039,7460,-0.77,Positive,680.98,0.11,7.12,44.63,24.04,0.34
H&M,Bangladesh,2024,529.75,11.62,20,15293.97,117.65,975.27,160.7,60,2,29.79,136.83,19,6244,2105,-0.12,Neutral,494.72,0.78,51.29,99.56,68.59,0.34
H&M,India,2020,729.6,16.74,26,9076.56,161.22,820.76,110.8,53,1,39.21,118.2,9,5390,976,-0.0,Neutral,496.95,0.78,29.11,82.92,65.08,4.94
Forever 21,Bangladesh,2018,436.34,24.61,20,7849.82,180.82,899.88,181.77,62,1,35.74,134.65,11,443,1474,-0.19,Neutral,371.49,0.31,9.84,64.24,14.29,4.19
H&M,Germany,2024,589.15,19.16,12,15585.43,273.78,543.63,220.55,57,0,38.05,115.79,9,2547,6546,0.95,Negative,511.26,0.55,46.21,95.58,50.46,2.59
Zara,Indonesia,2024,188.11,18.27,25,15502.26,156.84,1030.19,160.18,56,3,35.12,153.17,18,4817,1737,-0.65,Neutral,666.97,0.16,56.02,62.53,91.61,2.71
Zara,India,2019,491.61,25.09,25,7756.26,143.05,760.66,92.74,50,2,32.08,150.68,16,6494,6507,0.91,Negative,338.25,0.24,93.86,56.2,99.37,2.87
Uniqlo,Bangladesh,2017,684.95,23.86,12,15939.94,224.99,958.39,202.4,62,1,15.01,143.43,19,4179,7350,0.54,Negative,768.58,0.3,58.14,82.47,41.12,2.86
Forever 21,Brazil,2023,468.6,27.09,22,6941.82,289.16,865.46,171.62,63,0,17.64,85.21,8,9334,2606,0.54,Neutral,451.47,0.12,77.89,52.68,93.62,4.99
H&M,Bangladesh,2018,358.75,28.77,17,9701.97,195.6,1062.84,166.94,63,0,32.2,178.57,19,532,4100,-0.32,Positive,341.15,0.54,70.88,4.27,32.81,2.73
Shein,USA,2019,531.1,17.83,22,2243.04,221.23,956.06,156.9,44,0,38.65,79.95,3,8383,6678,0.61,Negative,469.63,0.56,11.98,43.78,63.05,3.6
Uniqlo,USA,2017,373.32,21.61,28,9516.96,149.35,623.77,245.22,60,2,34.83,107.73,14,4829,1749,0.99,Positive,225.76,0.43,41.27,1.99,38.08,3.82
Uniqlo,Germany,2016,820.58,21.06,25,2843.34,296.6,883.19,153.69,64,0,34.1,134.54,18,4385,7363,0.28,Negative,673.33,0.76,12.28,25.73,19.41,4.21
Zara,China,2019,421.44,29.58,9,11389.46,214.57,803.53,109.2,40,1,28.73,165.39,19,7784,1746,-0.63,Negative,541.7,0.29,29.14,37.04,70.66,0.37
H&M,Brazil,2015,442.82,1.09,22,6978.47,175.85,575.37,89.68,42,0,18.81,117.55,18,833,1901,0.2,Negative,796.88,0.93,78.29,59.54,90.62,3.0
Forever 21,Brazil,2024,170.06,21.62,18,8846.82,193.35,291.26,155.28,61,1,17.7,132.07,11,2484,3581,0.27,Positive,682.26,0.74,38.34,81.22,0.25,2.97
H&M,Indonesia,2019,602.8,31.5,6,14010.76,185.56,1050.75,207.3,45,0,23.52,135.86,14,3164,2792,-0.02,Neutral,470.95,0.72,34.67,41.43,56.28,1.47
Zara,India,2022,434.92,18.25,13,9704.01,158.17,1156.19,220.21,58,2,30.07,126.79,3,9785,754,-0.88,Neutral,161.93,0.57,56.24,69.42,99.55,2.11
Shein,UK,2024,379.2,20.1,25,10928.05,223.73,822.85,150.4,60,0,21.59,163.81,10,1940,1960,0.49,Positive,360.19,0.51,7.68,79.01,58.53,2.45
Forever 21,Brazil,2015,509.55,30.29,23,10436.73,168.72,527.0,169.57,60,1,20.07,99.71,18,2198,6401,-0.49,Negative,850.45,0.84,46.31,71.53,65.03,1.53
H&M,India,2020,446.0,18.6,17,15649.61,158.98,1082.53,138.93,60,1,25.35,94.77,4,4366,1403,0.09,Negative,679.66,0.19,75.82,27.74,38.51,1.23
Zara,Indonesia,2018,771.85,21.89,19,9730.71,205.17,811.04,115.88,60,1,10.35,108.0,10,1837,6629,0.37,Positive,541.17,0.39,87.13,59.8,84.87,2.35
Uniqlo,Brazil,2020,219.81,20.03,24,12660.08,158.1,598.46,102.36,51,0,35.53,77.3,8,905,1355,-0.29,Neutral,291.25,0.28,35.79,35.43,35.43,1.55
Uniqlo,Germany,2015,614.88,25.33,13,10708.41,196.17,760.54,171.97,42,1,34.25,80.49,17,4818,4200,0.29,Negative,849.06,0.53,64.42,60.25,42.17,2.81
Forever 21,UK,2015,624.81,22.5,6,9898.12,249.01,1047.78,31.74,50,2,36.83,107.44,7,6647,1357,0.84,Neutral,577.49,0.27,12.5,24.13,5.96,1.6
H&M,USA,2022,405.47,11.84,20,7138.48,157.83,394.63,140.91,62,1,21.05,65.86,9,8020,7857,0.33,Positive,588.99,0.49,2.48,72.83,96.49,2.35
Shein,USA,2016,538.07,9.44,22,11071.48,212.24,590.22,182.51,48,0,30.15,120.71,14,8894,7333,-0.3,Positive,272.96,0.25,67.36,58.21,3.35,0.31
Forever 21,Bangladesh,2017,632.09,15.7,12,11096.18,127.56,695.75,155.26,41,1,17.47,95.99,12,1951,7162,0.45,Positive,992.03,0.49,63.59,92.82,84.46,0.34
Shein,UK,2017,475.09,25.95,28,10594.17,226.93,864.63,201.96,65,0,21.4,123.88,5,302,7950,-0.11,Neutral,711.35,0.93,65.82,72.99,78.59,0.45
Zara,Bangladesh,2024,223.74,26.05,29,8142.73,273.59,554.68,183.15,60,1,10.66,130.06,6,5190,6125,0.43,Neutral,382.02,0.12,93.15,42.1,36.82,1.42
Forever 21,Germany,2015,635.15,16.81,29,10585.68,150.9,1239.17,198.78,64,1,32.93,86.79,10,7044,367,0.74,Positive,481.23,0.12,55.72,38.39,60.39,1.8
Uniqlo,Turkey,2017,676.22,18.33,25,11315.1,199.81,504.26,178.14,60,0,14.9,73.45,11,8579,2523,-0.78,Neutral,659.45,0.84,95.64,26.35,29.44,3.47
Forever 21,UK,2023,553.56,17.08,24,11196.49,188.34,762.26,171.64,43,1,20.03,63.8,19,9508,382,0.95,Negative,529.02,0.97,82.77,23.25,44.16,2.2
Uniqlo,UK,2019,426.27,19.39,6,6877.15,281.14,553.56,183.96,69,0,37.91,146.52,16,3122,5492,-0.61,Positive,777.74,0.61,44.73,67.97,98.25,1.81
Shein,Vietnam,2023,647.77,21.58,11,6537.66,227.61,1118.96,187.5,40,1,13.95,108.78,17,7644,3814,-0.48,Positive,518.57,0.59,48.17,38.64,74.6,2.82
Uniqlo,Indonesia,2018,382.61,22.37,23,8744.67,212.65,1113.84,224.44,44,1,39.62,125.11,14,2494,5592,-0.47,Neutral,538.57,0.6,39.29,17.13,7.26,2.79
H&M,Bangladesh,2019,542.53,17.38,13,13993.36,245.93,780.0,129.85,49,2,10.82,102.08,6,5219,3381,0.59,Neutral,479.34,0.68,28.45,70.13,28.92,0.19
H&M,UK,2018,45.69,31.29,29,11338.68,147.52,676.8,116.19,58,0,32.3,145.94,19,6846,2197,-0.67,Positive,509.23,0.44,34.69,40.71,18.36,4.89
Zara,Turkey,2020,560.45,15.32,8,9548.92,229.24,831.55,189.32,59,2,10.16,116.49,10,6147,825,0.08,Negative,109.11,0.69,51.38,68.9,48.52,2.65
Uniqlo,Brazil,2023,477.4,23.0,11,6290.86,127.06,841.52,172.29,65,1,21.12,146.47,9,4742,2177,0.13,Negative,615.37,0.62,43.4,37.28,48.05,1.82
Zara,Indonesia,2015,318.32,15.93,9,7806.83,143.52,1045.9,78.5,58,0,37.92,100.61,8,4125,4412,-0.2,Negative,674.41,0.65,38.23,31.11,35.31,4.02
Uniqlo,Germany,2019,551.81,20.37,6,10360.19,251.74,736.33,205.0,69,1,38.2,76.89,17,7932,4306,0.94,Neutral,678.03,0.49,90.76,56.89,47.59,1.53
Forever 21,Turkey,2022,818.19,27.7,9,8985.7,145.1,743.06,153.23,62,0,17.75,109.95,11,7113,3492,0.36,Neutral,292.39,0.42,20.53,20.28,60.09,0.82
H&M,India,2020,301.44,17.63,29,9367.08,202.27,453.56,123.87,62,0,31.24,118.92,14,6807,4371,0.37,Negative,833.57,0.83,90.2,56.91,12.2,1.85
H&M,Bangladesh,2023,495.57,27.51,8,16578.91,218.19,687.61,111.62,42,1,13.36,112.88,18,2504,305,0.24,Negative,544.44,0.48,98.44,77.98,80.84,0.06
Uniqlo,Germany,2017,402.87,22.95,23,8789.26,147.11,1058.98,133.53,51,3,11.68,117.93,7,4673,5969,-0.86,Negative,564.77,0.2,24.52,51.34,98.73,4.01
H&M,China,2022,549.17,17.06,22,13916.36,297.95,633.02,277.57,57,2,19.99,142.82,17,3123,5597,0.28,Neutral,750.45,0.73,18.62,75.32,29.99,2.12
Uniqlo,India,2022,557.86,20.57,19,9156.59,213.16,651.2,88.47,48,2,31.5,134.6,8,3303,1850,-1.0,Negative,826.95,0.18,3.51,86.46,31.33,1.84
Uniqlo,Germany,2019,675.38,19.17,14,5877.16,146.15,423.14,240.13,43,0,25.6,120.79,15,6606,580,-0.15,Neutral,588.92,0.86,42.49,82.99,93.15,0.1
Uniqlo,Vietnam,2024,481.26,14.81,13,11886.94,153.48,925.38,161.39,41,1,27.76,98.6,19,5361,4915,-0.5,Negative,621.03,0.27,23.22,5.98,99.2,4.35
Uniqlo,Bangladesh,2019,773.44,20.89,12,7223.67,285.2,810.29,71.64,60,3,36.81,76.51,7,4109,7840,0.22,Positive,205.63,0.48,94.07,95.85,50.26,2.7
H&M,USA,2015,450.41,28.69,15,12556.4,253.1,933.16,124.5,63,1,24.92,118.78,13,2454,4092,0.53,Positive,730.96,0.7,62.66,37.17,63.01,0.52
H&M,Indonesia,2020,310.57,18.17,21,14083.14,153.08,1013.7,92.65,41,0,16.69,123.78,14,2203,2792,-0.77,Neutral,536.41,0.69,55.15,4.67,29.52,3.88
Zara,Indonesia,2020,470.43,10.32,26,9951.15,152.83,785.61,82.36,45,3,39.57,66.24,19,6812,6427,0.93,Neutral,248.59,0.19,54.08,13.25,89.0,2.94
Shein,Vietnam,2019,385.51,14.75,10,14288.83,185.04,824.84,147.77,45,0,34.28,169.39,5,327,3948,0.4,Negative,274.89,0.7,75.74,50.02,22.03,4.08
H&M,Brazil,2022,298.0,25.37,21,12047.96,260.43,685.56,172.06,52,0,18.91,64.95,17,2107,4946,0.9,Neutral,308.68,0.4,61.21,89.17,63.01,1.81
Forever 21,India,2022,715.42,20.56,9,8080.56,248.11,619.57,142.14,58,2,13.51,155.59,7,2928,3812,0.25,Neutral,150.97,0.51,14.44,16.89,48.44,2.32
Forever 21,India,2015,674.08,36.46,20,9742.0,168.87,355.99,126.76,63,1,22.64,137.99,4,4025,1537,-0.1,Neutral,726.35,0.26,0.77,31.19,5.48,2.41
H&M,Germany,2018,415.67,24.22,19,4043.95,55.08,918.25,77.25,62,1,21.78,101.67,3,7251,6555,0.72,Neutral,518.1,0.27,34.75,47.58,29.58,3.13
Forever 21,India,2024,625.34,16.27,7,9247.4,247.68,908.43,116.1,61,0,16.02,81.03,19,5154,3280,0.72,Neutral,418.37,0.12,13.52,24.79,77.13,3.14
Shein,Vietnam,2024,335.86,18.21,24,7232.85,198.04,773.55,62.25,56,1,23.44,109.72,8,3526,3754,0.67,Positive,115.45,0.6,38.58,78.23,43.13,2.58
Shein,Brazil,2021,542.18,25.38,6,9614.09,262.5,562.86,187.35,56,3,24.72,135.54,8,8402,1873,-0.86,Negative,178.04,0.12,93.78,27.15,38.03,3.41
Zara,UK,2022,617.73,15.56,24,13468.52,212.69,603.26,109.43,40,0,22.36,136.59,17,9768,4927,-0.29,Positive,739.65,0.8,50.99,93.95,27.96,1.62
Uniqlo,Indonesia,2016,465.34,24.67,16,12732.86,224.26,672.15,166.13,60,2,11.28,112.47,11,7622,3847,-0.98,Positive,471.69,0.72,76.86,56.79,73.08,3.26
H&M,Germany,2016,170.1,15.83,24,8810.32,217.36,576.61,74.66,48,1,33.3,138.57,14,3737,7350,-0.93,Neutral,271.74,0.92,60.46,36.2,78.78,3.13
Uniqlo,India,2024,461.64,31.85,21,8358.75,120.62,742.36,102.17,52,1,14.3,166.49,19,8793,3868,0.94,Negative,486.84,0.41,93.24,59.74,0.41,1.56
Forever 21,Germany,2020,491.38,18.84,16,10090.97,219.04,1048.38,189.33,67,0,11.88,104.12,16,4277,2886,0.95,Neutral,279.06,0.17,9.48,68.26,75.51,4.86
